method: com.coveros.training.authentication.LoginServlet.doPost | lines: 27:50 | file: D:\msdecomp\2022_microservice_tools\code\scripts\metrics\casestudies/demo/src/main/java/com/coveros/training/authentication/LoginServlet.java
commit: 86e58a92d50a9b0fc7e65a8c59c6af2575798b05 | author: Byron Katz
method: com.coveros.training.authentication.LoginUtils.createEmpty | lines: 41:43 | file: D:\msdecomp\2022_microservice_tools\code\scripts\metrics\casestudies/demo/src/main/java/com/coveros/training/authentication/LoginUtils.java
commit: 340f96edca25606f0cff6b33ea493e92a039c10a | author: Byron Katz
commit: 461ccf574cf733091a83990c41d7da9e63c5cfd6 | author: Byron Katz
commit: 41ac804af51d72cb47720a7932e7ab21fabe95a2 | author: Byron Katz
commit: b4f301839c1c830db0a4f97ef93d41e8d2f2a894 | author: Byron Katz
commit: 0cc6e2ffa8547ed00e234ff3f74ea4a6d16111bd | author: Byron Katz
commit: 871ecc47278f4a87c097397a494cb6f0dc2a3e22 | author: Byron Katz
method: com.coveros.training.authentication.LoginUtils.isEmpty | lines: 45:47 | file: D:\msdecomp\2022_microservice_tools\code\scripts\metrics\casestudies/demo/src/main/java/com/coveros/training/authentication/LoginUtils.java
commit: 23ac52d87ae43dc548fd4a92bdb611af073f0f79 | author: Byron Katz
method: com.coveros.training.authentication.LoginUtils.isUserRegistered | lines: 29:39 | file: D:\msdecomp\2022_microservice_tools\code\scripts\metrics\casestudies/demo/src/main/java/com/coveros/training/authentication/LoginUtils.java
commit: c828aa612929b78514f14fb2a68bbba4ef6711b7 | author: Byron Katz
commit: 3b11cd6d3f774000c7f25bcdd64295336f58460b | author: Byron Katz
commit: 0f3b02dfccc94e847d68e947494db72cfcf0b9d1 | author: Byron Katz
commit: c144c05aa2193e7ecbdaa6e51da4f580f544d353 | author: Byron Katz
commit: 5762a020caa9611ef083697db04f8cd38ff353eb | author: Byron Katz
commit: b4f301839c1c830db0a4f97ef93d41e8d2f2a894 | author: Byron Katz
commit: 0cc6e2ffa8547ed00e234ff3f74ea4a6d16111bd | author: Byron Katz
commit: 871ecc47278f4a87c097397a494cb6f0dc2a3e22 | author: Byron Katz
commit: 4355506fbd7aac1f83fcd4f07d6308c62f064d68 | author: Byron Katz
method: com.coveros.training.authentication.RegisterServlet.doPost | lines: 26:51 | file: D:\msdecomp\2022_microservice_tools\code\scripts\metrics\casestudies/demo/src/main/java/com/coveros/training/authentication/RegisterServlet.java
commit: 86e58a92d50a9b0fc7e65a8c59c6af2575798b05 | author: Byron Katz
commit: c851c36b7f4cda1ffc8f0b22f6c2f3aab36aab06 | author: Byron Katz
commit: ce0f52a5c534621059ad3774eed71afd9487fe9e | author: Byron Katz
commit: 86853ed6a36948cd70c009bc1c5b8699eb06e028 | author: Byron Katz
commit: b157c48becf8e9823ceda7fffac877c6e89de3a7 | author: Byron Katz
commit: efde5332a9f33fd1cb7962f675ef6f9a80507f6e | author: Byron Katz
commit: 1a07b46b2a555f84a6a47ad4361b6af0e9a03216 | author: Byron Katz
commit: 9cbb7f08cbfbcdc82fbbbfd999c0a568736dd447 | author: Byron Katz
commit: 409803d575a5efe35b3a6b786761edeb4ff295d7 | author: Byron Katz
commit: 01cd49d1d708f568163d902c3d554eb7d90d998c | author: Byron Katz
commit: 8d51efe28f238e053461eea6629601a5e3500216 | author: Byron Katz
commit: 16434d200c3702e225bbddd19e2424e34b340e98 | author: Byron Katz
commit: db3f2b5b0752a7402b37e9bed2f80cc7417f02b7 | author: Byron Katz
commit: 96322cdd539d90f06fec7c227e17caa4b32cf8cd | author: Byron Katz
commit: 340f96edca25606f0cff6b33ea493e92a039c10a | author: Byron Katz
commit: 461ccf574cf733091a83990c41d7da9e63c5cfd6 | author: Byron Katz
commit: 833aa6ca895e4c2d4f9dbbfdc86ae490683985ec | author: Byron Katz
commit: 3edca423af98cdb4e789c290fe6829762abbbe43 | author: Byron Katz
commit: 41ac804af51d72cb47720a7932e7ab21fabe95a2 | author: Byron Katz
commit: 0cc6e2ffa8547ed00e234ff3f74ea4a6d16111bd | author: Byron Katz
commit: 871ecc47278f4a87c097397a494cb6f0dc2a3e22 | author: Byron Katz
commit: 4355506fbd7aac1f83fcd4f07d6308c62f064d68 | author: Byron Katz
method: com.coveros.training.authentication.RegisterServlet.forwardToResult | lines: 56:58 | file: D:\msdecomp\2022_microservice_tools\code\scripts\metrics\casestudies/demo/src/main/java/com/coveros/training/authentication/RegisterServlet.java
commit: efde5332a9f33fd1cb7962f675ef6f9a80507f6e | author: Byron Katz
commit: 1a07b46b2a555f84a6a47ad4361b6af0e9a03216 | author: Byron Katz
commit: 9cbb7f08cbfbcdc82fbbbfd999c0a568736dd447 | author: Byron Katz
commit: 409803d575a5efe35b3a6b786761edeb4ff295d7 | author: Byron Katz
commit: 01cd49d1d708f568163d902c3d554eb7d90d998c | author: Byron Katz
commit: 8d51efe28f238e053461eea6629601a5e3500216 | author: Byron Katz
commit: 16434d200c3702e225bbddd19e2424e34b340e98 | author: Byron Katz
commit: db3f2b5b0752a7402b37e9bed2f80cc7417f02b7 | author: Byron Katz
commit: 96322cdd539d90f06fec7c227e17caa4b32cf8cd | author: Byron Katz
commit: 340f96edca25606f0cff6b33ea493e92a039c10a | author: Byron Katz
commit: 461ccf574cf733091a83990c41d7da9e63c5cfd6 | author: Byron Katz
commit: 833aa6ca895e4c2d4f9dbbfdc86ae490683985ec | author: Byron Katz
commit: 3edca423af98cdb4e789c290fe6829762abbbe43 | author: Byron Katz
commit: 41ac804af51d72cb47720a7932e7ab21fabe95a2 | author: Byron Katz
commit: 0cc6e2ffa8547ed00e234ff3f74ea4a6d16111bd | author: Byron Katz
commit: 871ecc47278f4a87c097397a494cb6f0dc2a3e22 | author: Byron Katz
commit: 4355506fbd7aac1f83fcd4f07d6308c62f064d68 | author: Byron Katz
method: com.coveros.training.authentication.RegistrationUtils.RegistrationUtils | lines: 28:30 | file: D:\msdecomp\2022_microservice_tools\code\scripts\metrics\casestudies/demo/src/main/java/com/coveros/training/authentication/RegistrationUtils.java
commit: 0f3b02dfccc94e847d68e947494db72cfcf0b9d1 | author: Byron Katz
commit: b4f301839c1c830db0a4f97ef93d41e8d2f2a894 | author: Byron Katz
commit: 0cc6e2ffa8547ed00e234ff3f74ea4a6d16111bd | author: Byron Katz
commit: 871ecc47278f4a87c097397a494cb6f0dc2a3e22 | author: Byron Katz
commit: 4355506fbd7aac1f83fcd4f07d6308c62f064d68 | author: Byron Katz
method: com.coveros.training.authentication.RegistrationUtils.RegistrationUtils | lines: 28:30 | file: D:\msdecomp\2022_microservice_tools\code\scripts\metrics\casestudies/demo/src/main/java/com/coveros/training/authentication/RegistrationUtils.java
commit: 0f3b02dfccc94e847d68e947494db72cfcf0b9d1 | author: Byron Katz
commit: b4f301839c1c830db0a4f97ef93d41e8d2f2a894 | author: Byron Katz
commit: 0cc6e2ffa8547ed00e234ff3f74ea4a6d16111bd | author: Byron Katz
commit: 871ecc47278f4a87c097397a494cb6f0dc2a3e22 | author: Byron Katz
commit: 4355506fbd7aac1f83fcd4f07d6308c62f064d68 | author: Byron Katz
method: com.coveros.training.authentication.RegistrationUtils.createEmpty | lines: 69:71 | file: D:\msdecomp\2022_microservice_tools\code\scripts\metrics\casestudies/demo/src/main/java/com/coveros/training/authentication/RegistrationUtils.java
commit: 8d52ba936097029280b5206ee5a979af5b50a503 | author: Byron Katz
method: com.coveros.training.authentication.RegistrationUtils.isEmpty | lines: 73:75 | file: D:\msdecomp\2022_microservice_tools\code\scripts\metrics\casestudies/demo/src/main/java/com/coveros/training/authentication/RegistrationUtils.java
commit: 8d52ba936097029280b5206ee5a979af5b50a503 | author: Byron Katz
method: com.coveros.training.authentication.RegistrationUtils.isPasswordGood | lines: 92:133 | file: D:\msdecomp\2022_microservice_tools\code\scripts\metrics\casestudies/demo/src/main/java/com/coveros/training/authentication/RegistrationUtils.java
commit: c828aa612929b78514f14fb2a68bbba4ef6711b7 | author: Byron Katz
commit: bb987531d819fb55f01a3254be0007cdb35010c8 | author: Byron Katz
commit: 5762a020caa9611ef083697db04f8cd38ff353eb | author: Byron Katz
commit: 0b5a91c239055359ff6e694c3b281a5fe7d3b9e5 | author: Byron Katz
commit: c5671bc40a084f4de0728c9017636f8bdc618ae7 | author: Byron Katz
commit: 5c52b08859e9a965802daacae8f43d9b365536bc | author: Byron Katz
commit: 58a2823e8b8e7c19ff2eee4e702f9798731a93ea | author: Byron Katz
commit: af46dd15aa71265c6e6d7bfb8226d8b4f3a0103f | author: Byron Katz
commit: 2e7da562f8999a888814e4818f0bbe8c8674e3af | author: Byron Katz
commit: 92361e0101df5afc6c2b311075432b54492a4e9a | author: Byron Katz
commit: 4fe31d956a21da29a8683b7a78902f77275c98f9 | author: Byron Katz
commit: 5bebfd6c03fa1c9401442a1290d0c2c4547a1a09 | author: Byron Katz
commit: ac6836bd78a4465de7b4940e66d1f6ce262b8c1d | author: Byron Katz
commit: c7d7220adb84fabb7de52447eb66a401d5e67af5 | author: Byron Katz
commit: 44be22801a3a6e1a9cc531ccf0cf821843e5114e | author: Byron Katz
commit: b4f301839c1c830db0a4f97ef93d41e8d2f2a894 | author: Byron Katz
commit: 871ecc47278f4a87c097397a494cb6f0dc2a3e22 | author: Byron Katz
commit: 4355506fbd7aac1f83fcd4f07d6308c62f064d68 | author: Byron Katz
method: com.coveros.training.authentication.RegistrationUtils.isUserInDatabase | lines: 50:53 | file: D:\msdecomp\2022_microservice_tools\code\scripts\metrics\casestudies/demo/src/main/java/com/coveros/training/authentication/RegistrationUtils.java
commit: 0b5a91c239055359ff6e694c3b281a5fe7d3b9e5 | author: Byron Katz
commit: fd1613406afcc77f37ee98dd8cdf293b255336f2 | author: Byron Katz
commit: 871ecc47278f4a87c097397a494cb6f0dc2a3e22 | author: Byron Katz
commit: 4355506fbd7aac1f83fcd4f07d6308c62f064d68 | author: Byron Katz
method: com.coveros.training.authentication.RegistrationUtils.processRegistration | lines: 45:67 | file: D:\msdecomp\2022_microservice_tools\code\scripts\metrics\casestudies/demo/src/main/java/com/coveros/training/authentication/RegistrationUtils.java
commit: c828aa612929b78514f14fb2a68bbba4ef6711b7 | author: Byron Katz
commit: 8d52ba936097029280b5206ee5a979af5b50a503 | author: Byron Katz
commit: 86853ed6a36948cd70c009bc1c5b8699eb06e028 | author: Byron Katz
commit: 62285d962900f11cbfe5e5013f63d4fb7dcf6176 | author: Byron Katz
commit: 21df9ac86ea150538b2f9612c9ec4d9819cea8a8 | author: Byron Katz
commit: efde5332a9f33fd1cb7962f675ef6f9a80507f6e | author: Byron Katz
commit: 8a4f7a7164b93cdcf203245c3ebb57fe0be4befb | author: Byron Katz
commit: 0b5a91c239055359ff6e694c3b281a5fe7d3b9e5 | author: Byron Katz
commit: 1e53518427075a49334222ad506234c900dda2ad | author: Byron Katz
commit: fd1613406afcc77f37ee98dd8cdf293b255336f2 | author: Byron Katz
commit: 340f96edca25606f0cff6b33ea493e92a039c10a | author: Byron Katz
commit: 461ccf574cf733091a83990c41d7da9e63c5cfd6 | author: Byron Katz
commit: 41ac804af51d72cb47720a7932e7ab21fabe95a2 | author: Byron Katz
commit: b4f301839c1c830db0a4f97ef93d41e8d2f2a894 | author: Byron Katz
commit: 0cc6e2ffa8547ed00e234ff3f74ea4a6d16111bd | author: Byron Katz
commit: 871ecc47278f4a87c097397a494cb6f0dc2a3e22 | author: Byron Katz
commit: 4355506fbd7aac1f83fcd4f07d6308c62f064d68 | author: Byron Katz
method: com.coveros.training.authentication.RegistrationUtils.saveToDatabase | lines: 139:142 | file: D:\msdecomp\2022_microservice_tools\code\scripts\metrics\casestudies/demo/src/main/java/com/coveros/training/authentication/RegistrationUtils.java
commit: 0cc6e2ffa8547ed00e234ff3f74ea4a6d16111bd | author: Byron Katz
commit: 4355506fbd7aac1f83fcd4f07d6308c62f064d68 | author: Byron Katz
method: com.coveros.training.authentication.domainobjects.PasswordResult.PasswordResult | lines: 42:44 | file: D:\msdecomp\2022_microservice_tools\code\scripts\metrics\casestudies/demo/src/main/java/com/coveros/training/authentication/domainobjects/PasswordResult.java
commit: efde5332a9f33fd1cb7962f675ef6f9a80507f6e | author: Byron Katz
commit: b4f301839c1c830db0a4f97ef93d41e8d2f2a894 | author: Byron Katz
commit: 871ecc47278f4a87c097397a494cb6f0dc2a3e22 | author: Byron Katz
commit: 4355506fbd7aac1f83fcd4f07d6308c62f064d68 | author: Byron Katz
method: com.coveros.training.authentication.domainobjects.PasswordResult.createDefault | lines: 42:44 | file: D:\msdecomp\2022_microservice_tools\code\scripts\metrics\casestudies/demo/src/main/java/com/coveros/training/authentication/domainobjects/PasswordResult.java
commit: efde5332a9f33fd1cb7962f675ef6f9a80507f6e | author: Byron Katz
commit: b4f301839c1c830db0a4f97ef93d41e8d2f2a894 | author: Byron Katz
commit: 871ecc47278f4a87c097397a494cb6f0dc2a3e22 | author: Byron Katz
commit: 4355506fbd7aac1f83fcd4f07d6308c62f064d68 | author: Byron Katz
method: com.coveros.training.authentication.domainobjects.PasswordResult.createEmpty | lines: 96:98 | file: D:\msdecomp\2022_microservice_tools\code\scripts\metrics\casestudies/demo/src/main/java/com/coveros/training/authentication/domainobjects/PasswordResult.java
commit: efde5332a9f33fd1cb7962f675ef6f9a80507f6e | author: Byron Katz
commit: fb3c2d0183b626145123b3d09202cd299d62bd46 | author: Byron Katz
method: com.coveros.training.authentication.domainobjects.PasswordResult.equals | lines: 47:65 | file: D:\msdecomp\2022_microservice_tools\code\scripts\metrics\casestudies/demo/src/main/java/com/coveros/training/authentication/domainobjects/PasswordResult.java
commit: 0f3b02dfccc94e847d68e947494db72cfcf0b9d1 | author: Byron Katz
commit: 62a21e97e4a76ae48643408ecbcf3b45feaa5225 | author: Byron Katz
commit: efde5332a9f33fd1cb7962f675ef6f9a80507f6e | author: Byron Katz
commit: 871ecc47278f4a87c097397a494cb6f0dc2a3e22 | author: Byron Katz
commit: 4355506fbd7aac1f83fcd4f07d6308c62f064d68 | author: Byron Katz
method: com.coveros.training.authentication.domainobjects.PasswordResult.hashCode | lines: 68:78 | file: D:\msdecomp\2022_microservice_tools\code\scripts\metrics\casestudies/demo/src/main/java/com/coveros/training/authentication/domainobjects/PasswordResult.java
commit: 871ecc47278f4a87c097397a494cb6f0dc2a3e22 | author: Byron Katz
commit: 4355506fbd7aac1f83fcd4f07d6308c62f064d68 | author: Byron Katz
method: com.coveros.training.authentication.domainobjects.PasswordResult.isEmpty | lines: 100:102 | file: D:\msdecomp\2022_microservice_tools\code\scripts\metrics\casestudies/demo/src/main/java/com/coveros/training/authentication/domainobjects/PasswordResult.java
commit: fb3c2d0183b626145123b3d09202cd299d62bd46 | author: Byron Katz
method: com.coveros.training.authentication.domainobjects.PasswordResult.toPrettyString | lines: 84:90 | file: D:\msdecomp\2022_microservice_tools\code\scripts\metrics\casestudies/demo/src/main/java/com/coveros/training/authentication/domainobjects/PasswordResult.java
commit: 59dbea431a93d5fb9f49501bc56f4ede22ec48a5 | author: Byron Katz
commit: c26807913b7e4f547ae30282bb4c3bbd70d679ff | author: Byron Katz
commit: 86853ed6a36948cd70c009bc1c5b8699eb06e028 | author: Byron Katz
method: com.coveros.training.authentication.domainobjects.PasswordResult.toString | lines: 80:82 | file: D:\msdecomp\2022_microservice_tools\code\scripts\metrics\casestudies/demo/src/main/java/com/coveros/training/authentication/domainobjects/PasswordResult.java
commit: 871ecc47278f4a87c097397a494cb6f0dc2a3e22 | author: Byron Katz
commit: 4355506fbd7aac1f83fcd4f07d6308c62f064d68 | author: Byron Katz
method: com.coveros.training.authentication.domainobjects.PasswordResultEnums.PasswordResultEnums | lines: 7:27 | file: D:\msdecomp\2022_microservice_tools\code\scripts\metrics\casestudies/demo/src/main/java/com/coveros/training/authentication/domainobjects/PasswordResultEnums.java
commit: 36bd75e211aea1ccbb53b63af64b4dc7c86b93d5 | author: Byron Katz
commit: 58a2823e8b8e7c19ff2eee4e702f9798731a93ea | author: Byron Katz
commit: af46dd15aa71265c6e6d7bfb8226d8b4f3a0103f | author: Byron Katz
commit: 1a07b46b2a555f84a6a47ad4361b6af0e9a03216 | author: Byron Katz
commit: 871ecc47278f4a87c097397a494cb6f0dc2a3e22 | author: Byron Katz
commit: 4355506fbd7aac1f83fcd4f07d6308c62f064d68 | author: Byron Katz
method: com.coveros.training.authentication.domainobjects.RegistrationResult.RegistrationResult | lines: 18:22 | file: D:\msdecomp\2022_microservice_tools\code\scripts\metrics\casestudies/demo/src/main/java/com/coveros/training/authentication/domainobjects/RegistrationResult.java
commit: fd1613406afcc77f37ee98dd8cdf293b255336f2 | author: Byron Katz
commit: b4f301839c1c830db0a4f97ef93d41e8d2f2a894 | author: Byron Katz
commit: 871ecc47278f4a87c097397a494cb6f0dc2a3e22 | author: Byron Katz
commit: 4355506fbd7aac1f83fcd4f07d6308c62f064d68 | author: Byron Katz
method: com.coveros.training.authentication.domainobjects.RegistrationResult.RegistrationResult | lines: 18:22 | file: D:\msdecomp\2022_microservice_tools\code\scripts\metrics\casestudies/demo/src/main/java/com/coveros/training/authentication/domainobjects/RegistrationResult.java
commit: fd1613406afcc77f37ee98dd8cdf293b255336f2 | author: Byron Katz
commit: b4f301839c1c830db0a4f97ef93d41e8d2f2a894 | author: Byron Katz
commit: 871ecc47278f4a87c097397a494cb6f0dc2a3e22 | author: Byron Katz
commit: 4355506fbd7aac1f83fcd4f07d6308c62f064d68 | author: Byron Katz
method: com.coveros.training.authentication.domainobjects.RegistrationResult.createEmpty | lines: 66:68 | file: D:\msdecomp\2022_microservice_tools\code\scripts\metrics\casestudies/demo/src/main/java/com/coveros/training/authentication/domainobjects/RegistrationResult.java
commit: fd1613406afcc77f37ee98dd8cdf293b255336f2 | author: Byron Katz
commit: fb3c2d0183b626145123b3d09202cd299d62bd46 | author: Byron Katz
method: com.coveros.training.authentication.domainobjects.RegistrationResult.equals | lines: 28:44 | file: D:\msdecomp\2022_microservice_tools\code\scripts\metrics\casestudies/demo/src/main/java/com/coveros/training/authentication/domainobjects/RegistrationResult.java
commit: 0f3b02dfccc94e847d68e947494db72cfcf0b9d1 | author: Byron Katz
commit: 62a21e97e4a76ae48643408ecbcf3b45feaa5225 | author: Byron Katz
commit: efde5332a9f33fd1cb7962f675ef6f9a80507f6e | author: Byron Katz
commit: fd1613406afcc77f37ee98dd8cdf293b255336f2 | author: Byron Katz
commit: 871ecc47278f4a87c097397a494cb6f0dc2a3e22 | author: Byron Katz
commit: 4355506fbd7aac1f83fcd4f07d6308c62f064d68 | author: Byron Katz
method: com.coveros.training.authentication.domainobjects.RegistrationResult.hashCode | lines: 46:54 | file: D:\msdecomp\2022_microservice_tools\code\scripts\metrics\casestudies/demo/src/main/java/com/coveros/training/authentication/domainobjects/RegistrationResult.java
commit: fd1613406afcc77f37ee98dd8cdf293b255336f2 | author: Byron Katz
commit: 871ecc47278f4a87c097397a494cb6f0dc2a3e22 | author: Byron Katz
commit: 4355506fbd7aac1f83fcd4f07d6308c62f064d68 | author: Byron Katz
method: com.coveros.training.authentication.domainobjects.RegistrationResult.isEmpty | lines: 70:72 | file: D:\msdecomp\2022_microservice_tools\code\scripts\metrics\casestudies/demo/src/main/java/com/coveros/training/authentication/domainobjects/RegistrationResult.java
commit: fb3c2d0183b626145123b3d09202cd299d62bd46 | author: Byron Katz
method: com.coveros.training.authentication.domainobjects.RegistrationResult.toPrettyString | lines: 60:64 | file: D:\msdecomp\2022_microservice_tools\code\scripts\metrics\casestudies/demo/src/main/java/com/coveros/training/authentication/domainobjects/RegistrationResult.java
commit: 59dbea431a93d5fb9f49501bc56f4ede22ec48a5 | author: Byron Katz
commit: c26807913b7e4f547ae30282bb4c3bbd70d679ff | author: Byron Katz
commit: 86853ed6a36948cd70c009bc1c5b8699eb06e028 | author: Byron Katz
method: com.coveros.training.authentication.domainobjects.RegistrationResult.toString | lines: 56:58 | file: D:\msdecomp\2022_microservice_tools\code\scripts\metrics\casestudies/demo/src/main/java/com/coveros/training/authentication/domainobjects/RegistrationResult.java
commit: 871ecc47278f4a87c097397a494cb6f0dc2a3e22 | author: Byron Katz
commit: 4355506fbd7aac1f83fcd4f07d6308c62f064d68 | author: Byron Katz
method: com.coveros.training.authentication.domainobjects.RegistrationStatusEnums.RegistrationStatusEnums | lines: 7:15 | file: D:\msdecomp\2022_microservice_tools\code\scripts\metrics\casestudies/demo/src/main/java/com/coveros/training/authentication/domainobjects/RegistrationStatusEnums.java
commit: fd3e0ac47e965d35a0e3ac4bb031c7f3ea776b55 | author: Byron Katz
commit: 1e53518427075a49334222ad506234c900dda2ad | author: Byron Katz
commit: 3d0b66084149bba286b7c5ac5b9a9dce795ad6c6 | author: Byron Katz
commit: fd1613406afcc77f37ee98dd8cdf293b255336f2 | author: Byron Katz
commit: 4355506fbd7aac1f83fcd4f07d6308c62f064d68 | author: Byron Katz
method: com.coveros.training.authentication.domainobjects.User.User | lines: 25:28 | file: D:\msdecomp\2022_microservice_tools\code\scripts\metrics\casestudies/demo/src/main/java/com/coveros/training/authentication/domainobjects/User.java
commit: efde5332a9f33fd1cb7962f675ef6f9a80507f6e | author: Byron Katz
commit: fb3c2d0183b626145123b3d09202cd299d62bd46 | author: Byron Katz
commit: 26631401860b01c1faf4c1092f1d4b2e49d85008 | author: Byron Katz
commit: 0cc6e2ffa8547ed00e234ff3f74ea4a6d16111bd | author: Byron Katz
method: com.coveros.training.authentication.domainobjects.User.createEmpty | lines: 60:62 | file: D:\msdecomp\2022_microservice_tools\code\scripts\metrics\casestudies/demo/src/main/java/com/coveros/training/authentication/domainobjects/User.java
commit: efde5332a9f33fd1cb7962f675ef6f9a80507f6e | author: Byron Katz
commit: fb3c2d0183b626145123b3d09202cd299d62bd46 | author: Byron Katz
commit: 26631401860b01c1faf4c1092f1d4b2e49d85008 | author: Byron Katz
commit: 0cc6e2ffa8547ed00e234ff3f74ea4a6d16111bd | author: Byron Katz
method: com.coveros.training.authentication.domainobjects.User.equals | lines: 30:45 | file: D:\msdecomp\2022_microservice_tools\code\scripts\metrics\casestudies/demo/src/main/java/com/coveros/training/authentication/domainobjects/User.java
commit: 0f3b02dfccc94e847d68e947494db72cfcf0b9d1 | author: Byron Katz
commit: 62a21e97e4a76ae48643408ecbcf3b45feaa5225 | author: Byron Katz
commit: efde5332a9f33fd1cb7962f675ef6f9a80507f6e | author: Byron Katz
commit: fb3c2d0183b626145123b3d09202cd299d62bd46 | author: Byron Katz
commit: 26631401860b01c1faf4c1092f1d4b2e49d85008 | author: Byron Katz
commit: 0cc6e2ffa8547ed00e234ff3f74ea4a6d16111bd | author: Byron Katz
method: com.coveros.training.authentication.domainobjects.User.hashCode | lines: 47:54 | file: D:\msdecomp\2022_microservice_tools\code\scripts\metrics\casestudies/demo/src/main/java/com/coveros/training/authentication/domainobjects/User.java
commit: efde5332a9f33fd1cb7962f675ef6f9a80507f6e | author: Byron Katz
commit: fb3c2d0183b626145123b3d09202cd299d62bd46 | author: Byron Katz
commit: 26631401860b01c1faf4c1092f1d4b2e49d85008 | author: Byron Katz
commit: 0cc6e2ffa8547ed00e234ff3f74ea4a6d16111bd | author: Byron Katz
method: com.coveros.training.authentication.domainobjects.User.isEmpty | lines: 64:66 | file: D:\msdecomp\2022_microservice_tools\code\scripts\metrics\casestudies/demo/src/main/java/com/coveros/training/authentication/domainobjects/User.java
commit: efde5332a9f33fd1cb7962f675ef6f9a80507f6e | author: Byron Katz
commit: fb3c2d0183b626145123b3d09202cd299d62bd46 | author: Byron Katz
commit: 26631401860b01c1faf4c1092f1d4b2e49d85008 | author: Byron Katz
commit: 0cc6e2ffa8547ed00e234ff3f74ea4a6d16111bd | author: Byron Katz
method: com.coveros.training.authentication.domainobjects.User.toString | lines: 56:58 | file: D:\msdecomp\2022_microservice_tools\code\scripts\metrics\casestudies/demo/src/main/java/com/coveros/training/authentication/domainobjects/User.java
commit: efde5332a9f33fd1cb7962f675ef6f9a80507f6e | author: Byron Katz
commit: fb3c2d0183b626145123b3d09202cd299d62bd46 | author: Byron Katz
commit: 26631401860b01c1faf4c1092f1d4b2e49d85008 | author: Byron Katz
commit: 0cc6e2ffa8547ed00e234ff3f74ea4a6d16111bd | author: Byron Katz
method: com.coveros.training.cartesianproduct.CartesianProduct.calculate | lines: 7:9 | file: D:\msdecomp\2022_microservice_tools\code\scripts\metrics\casestudies/demo/src/main/java/com/coveros/training/cartesianproduct/CartesianProduct.java
commit: cdf5f5f8d254f0c7428f211b0216569c1c26a760 | author: Byron Katz
commit: a243815314a44347ad1e5df7d0e746a1581dd829 | author: Byron Katz
